time,seconds_elapsed,z,y,x
1712251711747218700,0.17021875,0.03771018981933594,-0.003706604242324829,-0.010655365884304047
1712251711765992000,0.188991943359375,0.11212348937988281,0.0004497915506362915,-0.022258438169956207
1712251711784765000,0.207764892578125,0.02064037322998047,-0.007980763912200928,0.009211555123329163
1712251711803538200,0.2265380859375,-0.06033897399902344,-0.000800207257270813,0.0023128166794776917
1712251711822311400,0.2453115234375,0.012169837951660156,0.004265278577804565,-0.003997907042503357
1712251711841084400,0.26408447265625,0.08464813232421875,0.0017011463642120361,0.003816545009613037
1712251711859857700,0.282857666015625,0.013607025146484375,0.0025855451822280884,-0.013807021081447601
1712251711878630700,0.301630615234375,-0.053348541259765625,-0.007913827896118164,-0.0057387202978134155
1712251711897404000,0.32040380859375,-0.011858940124511719,-0.00668865442276001,0.01708381623029709
1712251711916177200,0.33917724609375,0.08041667938232422,0.009799972176551819,0.0017213523387908936
1712251711934950100,0.3579501953125,0.03310585021972656,-0.0010786354541778564,0.021481916308403015
1712251711953723400,0.376723388671875,-0.04347705841064453,0.0013615787029266357,0.011466972529888153
1712251711972496400,0.395496337890625,-0.01898956298828125,0.0010388195514678955,0.0012157559394836426
1712251711991269600,0.41426953125,-0.010370254516601562,-0.005662500858306885,0.01963929831981659
1712251712010043000,0.43304296875,0.09225273132324219,0.017523467540740967,0.004939772188663483
1712251712028816000,0.45181591796875,0.05202960968017578,0.007992684841156006,-0.011307790875434875
1712251712047589000,0.470589111328125,-0.11911964416503906,-0.010482221841812134,-0.004571601748466492
1712251712066362000,0.489362060546875,0.05204200744628906,-0.0030661076307296753,0.01992308348417282
1712251712085135400,0.50813525390625,0.14148521423339844,0.009327113628387451,0.010408766567707062
1712251712103908600,0.52690869140625,0.18199729919433594,-0.004328832030296326,0.040947578847408295
1712251712122681600,0.545681640625,-0.18987274169921875,-0.006481632590293884,-0.04002949595451355
1712251712141454800,0.564454833984375,-0.054711341857910156,-0.006753310561180115,-0.008626937866210938
1712251712160227800,0.583227783203125,0.19775390625,-0.011815100908279419,0.07140147686004639
1712251712179001000,0.6020009765625,-0.21790027618408203,-1.9165540933609009,-1.4146071672439575
1712251712197774300,0.6207744140625,-0.17218780517578125,0.34225672483444214,1.0096259117126465
1712251712216547300,0.63954736328125,0.04790306091308594,-0.7785705924034119,1.1099576950073242
1712251712235320600,0.658320556640625,0.05970001220703125,-0.31106945872306824,1.5921881198883057
1712251712254093600,0.677093505859375,-0.06395339965820312,1.7907581329345703,6.263020038604736
1712251712272866800,0.69586669921875,-0.13374900817871094,2.0066542625427246,9.760499954223633
1712251712291640000,0.71464013671875,-0.11021041870117188,-0.6333144307136536,8.821441650390625
1712251712310413000,0.7334130859375,0.04015350341796875,0.6913968324661255,9.04816722869873
1712251712329186300,0.752186279296875,-0.06286811828613281,0.2337573766708374,8.234908103942871
1712251712347959600,0.77095947265625,0.027368545532226562,-0.621880292892456,3.180067539215088
1712251712366732500,0.789732666015625,0.825831413269043,-1.5877286195755005,-5.260020732879639
1712251712385505800,0.808505859375,-5.356224536895752,0.9852613806724548,1.2005128860473633
1712251712404278800,0.82727880859375,-1.4115581512451172,-2.858863592147827,-8.076502799987793
1712251712423052000,0.846052001953125,0.38822078704833984,-2.051907539367676,-11.21357250213623
1712251712441825300,0.8648251953125,0.00024890899658203125,-0.3039369285106659,-2.8175580501556396
1712251712460598300,0.883598388671875,0.5097723007202148,0.1291990578174591,-6.97116756439209
1712251712479371500,0.90237158203125,0.5902528762817383,-0.11641478538513184,-10.134077072143555
1712251712498144800,0.921144775390625,-0.23509883880615234,-0.63387131690979,-10.614757537841797
1712251712516917800,0.939917724609375,-0.37079620361328125,-1.1463688611984253,-6.096579074859619
1712251712535691000,0.95869091796875,-0.1916036605834961,-0.8047773838043213,-1.163759708404541
1712251712554464000,0.977464111328125,-0.014058113098144531,0.967187762260437,-0.4608697295188904
1712251712573237200,0.9962373046875,0.45158958435058594,-0.3275291919708252,-2.6262524127960205
1712251712592010500,1.015010498046875,-0.43151378631591797,-0.46754953265190125,-4.17631721496582
1712251712610783500,1.033783447265625,-0.18328857421875,-2.009752035140991,-6.8821916580200195
1712251712629556700,1.052556640625,-0.20425796508789062,-2.910456657409668,-9.478849411010742
1712251712648330000,1.071330078125,-2.276869773864746,-2.154696226119995,-8.35999870300293
1712251712667103000,1.09010302734375,-4.784325122833252,0.37208136916160583,-4.083019256591797
1712251712685876200,1.108876220703125,0.3661813735961914,-1.2478584051132202,-5.71523380279541
1712251712704649500,1.1276494140625,0.29844188690185547,-1.1690049171447754,-5.590929985046387
1712251712723422500,1.14642236328125,0.1705312728881836,-1.098425269126892,-2.56469988822937
1712251712742195700,1.16519580078125,0.06897830963134766,-0.5110347270965576,-0.4580037593841553
1712251712760969000,1.183968994140625,0.14084339141845703,-1.4964863061904907,0.5236538648605347
1712251712779742000,1.202741943359375,0.4897298812866211,-1.3854844570159912,3.286273956298828
1712251712798515200,1.22151513671875,0.10099411010742188,-0.6934056878089905,5.403614521026611
1712251712817288400,1.240288330078125,-0.0469207763671875,-0.11630696058273315,5.551413536071777
1712251712836061400,1.2590615234375,-0.2388763427734375,-0.4794497489929199,6.129591941833496
1712251712854834700,1.277834716796875,-1.0906286239624023,7.063690185546875,20.723726272583008
1712251712873608000,1.29660791015625,-2.9846553802490234,-4.132054328918457,-8.25509262084961
1712251712892381000,1.315380859375,1.5256328582763672,-0.014580488204956055,7.364088535308838
1712251712911154200,1.334154296875,-0.14987468719482422,0.8870635628700256,15.680827140808105
