time,seconds_elapsed,z,y,x
1633166662348486000,0.06348583984375,0.3999999761581421,-0.014399999752640724,2.3334999084472656
1633166662358465500,0.073465576171875,0.5013999938964844,-0.07899999618530273,2.3262999057769775
1633166662368476700,0.0834765625,0.2117999941110611,-0.13570000231266022,2.3135998249053955
1633166662378487600,0.093487548828125,0.11859999597072601,-0.10920000076293945,2.212599992752075
1633166662388467200,0.10346728515625,0.02449999935925007,-0.14399999380111694,2.0992000102996826
1633166662398479600,0.113479736328125,0.16419999301433563,-0.1605999916791916,1.9296000003814697
1633166662408489000,0.123489013671875,0.17829999327659607,-0.3181000053882599,1.865899920463562
1633166662418468900,0.13346875,0.2724999785423279,-0.3506999909877777,1.6424999237060547
1633166662428481300,0.143481201171875,0.21599999070167542,-0.25589999556541443,1.5216000080108643
1633166662438461000,0.1534609375,0.3572999835014343,-0.33409997820854187,1.452799916267395
1633166662448471800,0.163471923828125,0.3402999937534332,-0.5460000038146973,1.3816999197006226
1633166662458482700,0.173482666015625,0.28349998593330383,-0.4714999794960022,1.267799973487854
1633166662468462600,0.183462646484375,0.3447999954223633,-0.5049999952316284,1.0759999752044678
1633166662478473500,0.193473388671875,0.2888000011444092,-0.5325999855995178,0.9993000030517578
1633166662488484400,0.203484375,0.19509999454021454,-0.4777999818325043,0.9660999774932861
1633166662498464000,0.213464111328125,0.18219999969005585,-0.4989999830722809,0.8655999898910522
1633166662508475000,0.223474853515625,0.05329999700188637,-0.3253999948501587,0.7712999582290649
1633166662518487600,0.233487548828125,0.11979999393224716,-0.37279999256134033,0.67249995470047
1633166662528467200,0.24346728515625,0.18709999322891235,-0.2954999804496765,0.5783999562263489
1633166662538478000,0.25347802734375,0.09749999642372131,-0.24639999866485596,0.5224999785423279
1633166662548489000,0.263489013671875,0.008599999360740185,-0.2312999963760376,0.4650999903678894
1633166662558468900,0.27346875,0.07739999890327454,-0.2076999992132187,0.2556000053882599
1633166662568479700,0.283479736328125,0.02969999983906746,-0.1451999992132187,0.1613999903202057
1633166662578461000,0.2934609375,-0.09389999508857727,-0.05480000004172325,0.0005999999702908099
1633166662588470300,0.30347021484375,-0.02029999904334545,-0.005799999926239252,-0.11679999530315399
1633166662598481200,0.313481201171875,0.018799999728798866,0.11329999566078186,-0.1119999960064888
1633166662608462600,0.323462646484375,0.01889999955892563,-0.0030999998562037945,-0.10559999942779541
1633166662618472000,0.333471923828125,0.09749999642372131,0.033399999141693115,0.01489999983459711
1633166662628484400,0.343484375,0.05810000002384186,-0.08049999922513962,-0.021299999207258224
1633166662638464000,0.353464111328125,0.018799999728798866,-0.03909999877214432,-0.019999999552965164
1633166662648475000,0.363474853515625,-0.09879999607801437,0.0015999999595806003,-0.05920000001788139
1633166662658486000,0.373486083984375,-0.17710000276565552,-0.00019999999494757503,-0.09369999915361404
1633166662668465700,0.383465576171875,-0.09849999845027924,0.0746999979019165,0.020899999886751175
1633166662678476500,0.3934765625,-0.02029999904334545,0.07769999653100967,0.017899999395012856
1633166662688487400,0.4034873046875,-0.05979999899864197,0.041099999099969864,0.09179999679327011
1633166662698467000,0.413467041015625,-0.13809999823570251,-0.0018999999156221747,0.08899999409914017
1633166662708479700,0.423479736328125,-0.21629999577999115,0.11019999533891678,0.12379999458789825
1633166662718489000,0.433489013671875,-0.17679999768733978,0.10300000011920929,0.15389999747276306
1633166662728470300,0.44347021484375,-0.13729999959468842,0.019099999219179153,0.033299997448921204
